test,PK-7112,JAHID,AW,DENTAL CUSP GLUE,7.8,7.7,730,5621
test,PK-7113,JAHID,AW,SIGNAL REPEATER / ANTENNA/CABLE,2.8,2.8,730,2044
test,PK-7114,JAHID,AW,FREQUENCY INVERTER,25,25.1,730,18323
test,PK-7115,JAHID,AW,SIGNAL REPEATER / ANTENNA/CONNECTOR,20,19.8,730,14454
test,PK-7116,JAHID,AW,SIGNAL REPEATER / ANTENNA/CONNECTOR,14.6,14.6,730,10658
test,PK-7117,JAHID,AW,DOLLS,9,8.8,730,6424
test,PK-7118,JAHID,AW,REMOTE CONTROL,20.6,20.6,730,15038
test,PK-7119,JAHID,AW,REMOTE CONTROL,20.6,20.6,730,15038
test,PK-7120,JAHID,AW,REMOTE CONTROL,20.6,20.6,730,15038
test,PK-7121,JAHID,AW,REMOTE CONTROL,20.6,20.6,730,15038
test,PK-7122,JAHID,AW,REMOTE CONTROL,4.4,4.3,730,3139
test,PK-7123,JAHID,AW,32 INCH TV CABINET,3.2,3.1,730,2263
test,PK-7124,JAHID,AW,43-INCH TV CABINET,5.2,5.2,730,3796
test,PK-7125,JAHID,AW,43-INCH TV CABINET,6.2,6.3,730,4599
test,PK-7126,JAHID,AW,50 INCH TV CABINET,12.6,12.4,730,9052
test,PK-7127,JAHID,AW,SHOES/BAG,7.8,7.8,730,5694
test,PK-7128,JAHID,AW,CHARGER,24.8,24.9,730,18177
test,PK-7129,JAHID,AW,CHARGER,25,24.9,730,18177
test,PK-7130,JAHID,AW,CHARGER,17.4,17.4,730,12702
test,PK-7131,JAHID,AW,CABLE,10.4,10.3,730,7519
test,PK-7132,JAHID,AW,DIGITAL 32 CHANNEL EEG MACHINE,5.4,5.2,730,3796
test,PK-7133,JAHID,AW,MUSCLE OF HUMAN ARM,3.7,3.8,730,2774
test,PK-7134,JAHID,AW,MUSCLE OF HUMAN LEG,8,7.9,730,5767
test,PK-7135,JAHID,AW,FUNCTION GENERATOR,4.2,4.3,730,3139
test,PK-7136,JAHID,AW,"DEVELOPMENT BOARD/FUNCTION SIGNAL GENERATOR/
DIGITAL OSCILLOSCOPE",4.4,4.5,730,3285
test,PK-7137,JAHID,AW,SENSOR/THERMOCOUPLE/HYDRAULIC VALVE,8,8.2,730,5986
test,PK-7138,JAHID,AW,SIGNAL REPEATER / ANTENNA/CONNECTOR,10,10,730,7300
test,PK-7139,JAHID,AW,ALUMINUM FOIL,25.8,25.8,730,18834
test,PK-7140,JAHID,AW,ENCODER 3/PROPORIONAL VALVE 2/REDUCER 1,14.6,14.4,730,10512
test,PK-7141,JAHID,AW,FREQUENCY INVERTER,17.8,17.7,730,12921
test,PK-7142,JAHID,AW, SLIPPER,22.2,22.2,730,16206
test,PK-7143,JAHID,AW,LADY HANDBAGS/VALVES,5.4,5.4,730,3942
test,PK-7144,JAHID,AW,HAND FAN,8,8,730,5840
test,PK-7145,JAHID,AW, POWER SUPPLY/OSCILLOSCOPE CLIP PROBES/BGA DESOLDERING WIRE,20.2,20.2,730,14746
test,PK-7146,JAHID,AW, WAVEFORM GENERATOR,9.6,9.6,730,7008
test,PK-7147,JAHID,AW,OSCILLOSCOPE,9.2,9.3,730,6789
test,PK-7148,JAHID,AW,PROGRAMMER/SIGNAL GENERATOR/ADAPTER,9.2,9.2,730,6716
test,PK-7149,JAHID,AW," SOLDERING IRON TIP /OSCILLOSCOPE/
APPLE MACBOOK DIRECTLY READ & UNLOCK BIOS TOOLS KIT ",13.6,14,730,10220
test,PK-7150,JAHID,AW,PORTABLE SOLDERING STATION/CHIP/PROGRAMMER ,10.4,10.3,730,7519
test,PK-7151,JAHID,AW,REARVIEW MIRROR,14,14.4,730,10512
test,PK-7152,JAHID,AW,SHOES ,17.8,17.4,730,12702
test,PK-7153,JAHID,AW,SHOES ,17.2,17.2,730,12556
test,PK-7154,JAHID,AW,SHOES ,34.4,32.4,730,23652
test,PK-7155,JAHID,AW,LADIES BAG,5.8,5.7,730,4161
test,PK-7156,JAHID,AW,FREQUENCY INVERTER,18,18,730,13140
test,PK-7157,JAHID,AW,LAMP,2.8,1.8,730,1314
test,PK-7158,JAHID,AW,COOKER ,7.6,7.6,730,5548
test,PK-7159,JAHID,AW,FILM,17,17,730,12410
test,PK-7160,JAHID,AW,FLAT PANEL DETECTOR,3.8,13.7,730,10001
test,PK-7161,JAHID,AW,SEAL RING 20/ ASSEMBLY 20/ FILTER 20,100.5,101.4,730,74022
test,PK-7162,JAHID,AW,LAMP,40,38.6,730,28178
test,PK-7163,JAHID,AW,PAPER ROLL ,36,34.4,730,25112
